datetime,open,high,low,close,bearish_engulfing
2021-12-29,125.13,125.88,124.99,125.63,0
2021-12-28,125.205,125.405,124.93,125.135,0
2021-12-27,124.45,125.245,124.32,125.205,0
2021-12-25,124.545,124.575,124.23,124.42,0
2021-12-24,124.66,124.785,124.335,124.52,0
2021-12-23,124.11,124.715,123.91,124.65,0
2021-12-22,123.5,124.205,123.385,124.12,0
2021-12-21,123.28,123.58,123.19,123.475,0
2021-12-20,122.95,123.38,122.665,123.27,0
2021-12-18,123.03,123.14,122.97,123.04,0
2021-12-17,123.54,123.81,122.95,123.035,0
2021-12-16,122.88,123.97,122.88,123.52,0
2021-12-15,123.125,123.23,122.82,122.92,0
2021-12-14,123.105,123.575,122.875,123.13,0
2021-12-13,122.975,123.295,122.67,123.105,0
2021-12-11,123.16,123.225,123.085,123.16,0
2021-12-10,122.775,123.215,122.675,123.16,0
2021-12-09,123.485,123.67,122.49,122.765,0
2021-12-08,122.755,123.61,122.555,123.485,0
2021-12-07,122.6,123.125,122.5,122.74,0
2021-12-06,123.08,123.115,122.35,122.615,0
2021-12-04,122.83,123.02,122.73,123.02,0
2021-12-03,122.95,123.53,122.78,122.82,0
2021-12-02,122.75,123.075,122.375,122.93,0
2021-12-01,122.95,123.545,122.595,122.76,0
2021-11-30,123.085,123.37,122.59,122.95,0
2021-11-29,122.84,123.185,122.14,123.085,0
2021-11-27,122.75,122.92,122.455,122.84,0
2021-11-26,123.29,123.36,122.525,122.73,0
2021-11-25,123.595,123.715,123.205,123.28,0
2021-11-24,123.235,123.62,122.78,123.58,0
2021-11-23,123.275,123.515,123.005,123.24,0
2021-11-22,122.875,123.435,122.655,123.28,0
2021-11-20,122.67,122.88,122.645,122.88,0
2021-11-19,123.415,123.51,122.43,122.655,0
2021-11-18,122.84,123.47,122.745,123.415,0
2021-11-17,123.23,123.54,122.805,122.85,0
2021-11-16,123.48,123.66,123.01,123.23,0
2021-11-15,123.65,123.965,123.37,123.48,0
2021-11-13,123.62,123.76,123.62,123.63,0
2021-11-12,123.785,123.95,123.38,123.63,0
2021-11-11,124.06,124.24,123.425,123.79,0
2021-11-10,123.9,124.5,123.625,124.06,0
2021-11-09,123.96,124.055,123.415,123.89,0
2021-11-08,124.195,124.53,123.595,123.96,0
2021-11-06,124.26,124.36,124.225,124.3,0
2021-11-05,124.61,124.775,123.94,124.255,0
2021-11-04,125.11,125.26,124.27,124.6,1
2021-11-03,124.64,125.155,124.47,125.11,0
2021-11-02,125.38,125.52,124.33,124.635,0
2021-11-01,124.49,125.475,124.44,125.39,0
2021-10-30,124.44,124.59,124.34,124.34,1
2021-10-29,124.42,125.03,124.27,124.455,0
2021-10-28,124.03,124.49,123.52,124.425,0
2021-10-27,124.12,124.23,123.58,124.03,0
2021-10-26,123.66,124.235,123.56,124.11,0
2021-10-25,124.0,124.205,123.54,123.655,0
2021-10-23,123.81,123.97,123.755,123.93,0
2021-10-22,124.04,124.39,123.725,123.81,0
2021-10-21,124.27,124.55,123.775,124.04,0
2021-10-20,123.88,124.325,123.61,124.26,0
2021-10-19,123.77,124.31,123.64,123.88,0
2021-10-18,123.685,123.89,123.38,123.77,0
2021-10-16,123.81,123.86,123.685,123.73,0
2021-10-15,123.095,123.89,122.995,123.815,0
2021-10-14,122.67,123.3,122.48,123.075,0
2021-10-13,122.11,122.73,121.945,122.665,0
2021-10-12,122.215,122.335,122.015,122.1,0
2021-10-11,121.025,122.35,120.87,122.215,0
2021-10-09,121.08,121.11,120.96,120.97,0
2021-10-08,120.14,121.1,120.11,121.075,0
2021-10-07,120.095,120.385,119.955,120.15,0
2021-10-06,120.14,120.275,119.74,120.11,0
2021-10-05,119.89,120.28,119.78,120.08,0
2021-10-04,119.255,120.285,118.925,119.89,0
2021-10-01,119.43,119.65,119.0,119.25,0
2021-09-30,119.84,119.97,119.165,119.4,0
2021-09-29,119.965,120.195,119.655,119.73,1
2021-09-28,119.9,120.24,119.735,119.94,0
2021-09-27,119.78,119.97,119.22,119.86,0
2021-09-24,119.355,119.865,119.235,119.67,0
2021-09-23,118.525,119.495,118.44,119.32,0
2021-09-22,118.26,118.925,118.14,118.5,0
2021-09-21,117.895,118.515,117.835,118.23,0
2021-09-20,118.01,118.125,117.525,117.88,0
2021-09-17,118.265,118.71,117.86,117.89,0
2021-09-16,118.91,119.01,118.11,118.22,0
2021-09-15,119.16,119.32,118.8,118.87,0
2021-09-14,119.26,119.665,119.13,119.13,0
2021-09-13,119.74,119.8,119.12,119.22,0
2021-09-10,119.63,120.115,119.61,119.76,0
2021-09-09,119.555,119.865,119.43,119.6,0
2021-09-08,119.915,120.04,119.49,119.54,0
2021-09-07,120.03,120.375,119.88,119.87,0
2021-09-06,120.115,120.21,119.8,120.01,0
2021-09-03,120.26,120.445,119.925,120.08,0
2021-09-02,120.195,120.33,119.98,120.2,0
2021-09-01,120.22,120.44,119.925,120.16,0
2021-08-31,119.89,120.445,119.75,120.19,0
2021-08-30,120.495,120.635,119.685,119.86,1
2021-08-27,119.955,120.605,119.69,120.48,0
2021-08-26,120.38,120.565,119.78,119.9,1
2021-08-25,120.16,120.515,119.935,120.36,0
2021-08-24,120.205,120.37,120.015,120.12,0
2021-08-23,119.755,120.335,119.625,120.18,0
2021-08-20,119.43,119.87,119.34,119.71,0
2021-08-19,119.69,119.88,119.42,119.38,0
2021-08-18,119.825,120.115,119.53,119.63,1
2021-08-17,119.74,120.155,119.545,119.79,0
2021-08-16,119.82,119.885,119.31,119.72,0
2021-08-13,119.55,119.96,119.355,119.64,0
2021-08-12,119.75,119.89,119.445,119.52,0
2021-08-11,119.825,120.05,119.725,119.71,0
2021-08-10,119.785,120.055,119.625,119.78,0
2021-08-09,120.56,120.795,119.785,119.75,0
2021-08-06,120.98,121.155,120.4,120.52,1
2021-08-05,120.73,121.15,120.695,120.89,0
2021-08-04,120.675,120.975,120.375,120.68,0
2021-08-03,120.71,121.04,120.405,120.62,0
2021-08-02,121.055,121.24,120.58,120.64,1
2021-07-30,120.8,121.21,120.675,121.11,0
2021-07-29,120.77,121.065,120.535,120.79,0
2021-07-28,120.015,120.81,119.905,120.73,0
2021-07-27,120.46,120.595,119.865,120.0,1
2021-07-26,120.285,120.61,119.85,120.42,0
2021-07-23,119.865,120.275,119.73,120.23,0
2021-07-22,120.22,120.295,119.65,119.82,0
2021-07-21,119.165,120.275,119.07,120.13,0
2021-07-20,119.215,119.485,118.635,119.13,0
2021-07-19,119.78,119.815,118.915,119.22,0
2021-07-16,119.715,120.065,119.505,119.65,0
2021-07-15,120.215,120.455,119.54,119.67,0
2021-07-14,120.44,120.52,120.015,120.14,0
2021-07-13,120.625,120.75,120.03,120.39,1
2021-07-12,120.345,120.66,120.16,120.56,0
2021-07-09,119.92,120.565,119.83,120.49,0
2021-07-08,119.575,120.075,118.97,119.88,0
2021-07-07,119.685,120.055,119.315,119.52,0
2021-07-06,120.325,120.525,119.56,119.67,0
2021-07-05,120.605,120.655,120.205,120.31,1
2021-07-02,120.535,120.7,120.235,120.56,0
2021-07-01,120.1,120.715,119.91,120.49,0
2021-06-30,120.03,120.145,119.615,120.07,0
2021-06-29,120.32,120.39,119.78,119.98,0
2021-06-28,120.755,120.92,120.165,120.28,0
2021-06-25,120.82,120.965,120.585,120.68,1
2021-06-24,120.745,121.0,120.475,120.78,0
2021-06-23,120.53,121.01,120.4,120.71,0
2021-06-22,120.2,120.6,119.86,120.5,0
2021-06-21,119.515,120.225,118.855,120.13,0
