datetime,open,high,low,close,bearish_engulfing
2021-12-29,1.5649,1.56705,1.5594,1.5641,0
2021-12-28,1.5646,1.5664,1.5595,1.5649,0
2021-12-27,1.56655,1.56975,1.5628,1.5647,0
2021-12-25,1.5674,1.5681,1.56245,1.5668,0
2021-12-24,1.5639,1.56815,1.56255,1.5674,0
2021-12-23,1.5697,1.5756,1.561,1.5639,0
2021-12-22,1.5764,1.58315,1.5685,1.56945,0
2021-12-21,1.5849,1.58835,1.57555,1.5763,1
2021-12-20,1.5766,1.59035,1.5727,1.585,0
2021-12-18,1.57625,1.578,1.57595,1.57755,0
2021-12-17,1.5763,1.584,1.57535,1.5763,0
2021-12-16,1.5784,1.58275,1.5659999999999998,1.5761,0
2021-12-15,1.58545,1.5859,1.5747,1.5782,1
2021-12-14,1.5836,1.59075,1.57985,1.58545,0
2021-12-13,1.57955,1.5864,1.5736,1.5836,0
2021-12-11,1.57785,1.5786,1.577,1.57795,0
2021-12-10,1.5786,1.58285,1.57165,1.5778,0
2021-12-09,1.5805,1.5855,1.57675,1.5788,0
2021-12-08,1.58285,1.58635,1.57915,1.5808,0
2021-12-07,1.6005,1.60275,1.5803,1.58145,0
2021-12-06,1.61555,1.6174,1.59905,1.6005,1
2021-12-04,1.61625,1.61715,1.61385,1.61705,0
2021-12-03,1.5935,1.6166,1.5917,1.61625,0
2021-12-02,1.59035,1.6006,1.5899,1.5937,0
2021-12-01,1.5902,1.5921,1.5799,1.5902,0
2021-11-30,1.58,1.5972,1.5788,1.5902,0
2021-11-29,1.5855,1.5896,1.5752,1.5799,1
2021-11-27,1.5879,1.59165,1.58545,1.58865,0
2021-11-26,1.5594,1.5897,1.5565,1.5877,0
2021-11-25,1.55685,1.5632,1.55495,1.5596,0
2021-11-24,1.5581,1.561,1.5522,1.55685,0
2021-11-23,1.5549,1.56285,1.5533,1.55825,0
2021-11-22,1.5582,1.5614,1.5492,1.555,1
2021-11-20,1.55995,1.5612,1.5589,1.5603,0
2021-11-19,1.5627,1.56365,1.55605,1.55995,0
2021-11-18,1.5573,1.5648,1.55265,1.56285,0
2021-11-17,1.54955,1.5582,1.54855,1.5572,0
2021-11-16,1.5478,1.5518,1.5449,1.5494,0
2021-11-15,1.5633,1.5636,1.54735,1.54775,0
2021-11-13,1.56135,1.56175,1.55995,1.5611,0
2021-11-12,1.5696,1.5719999999999998,1.56115,1.5614,1
